Step,Temperature,Energy
0,1,16.9018
1,0.890215,16.9018
2,0.792483,16.9018
3,0.70548,16.9018
4,0.628029,16.9018
5,0.559081,16.9018
6,0.497702,16.9018
7,0.443062,16.9018
8,0.394421,16.9018
9,0.351119,16.9018
10,0.312572,16.9018
11,0.278256,16.9018
12,0.247708,16.9018
13,0.220513,16.9018
14,0.196304,16.9018
15,0.174753,16.9018
16,0.155568,16.9018
17,0.138489,16.9018
18,0.123285,16.9018
19,0.10975,16.9018
20,0.097701,16.9018
21,0.0869749,16.9018
22,0.0774264,16.9018
23,0.0689261,16.9018
24,0.0613591,16.9018
25,0.0546228,16.9018
26,0.048626,16.9018
27,0.0432876,16.9018
28,0.0385353,16.9018
29,0.0343047,16.9018
30,0.0305386,16.9018
31,0.0271859,16.9018
32,0.0242013,16.9018
33,0.0215443,16.9018
34,0.0191791,16.9018
35,0.0170735,16.9018
36,0.0151991,16.9018
37,0.0135305,16.9018
38,0.012045,16.9018
39,0.0107227,16.9018
40,0.00954548,16.9018
41,0.00849753,16.9018
42,0.00756463,16.9018
43,0.00673415,16.9018
44,0.00599484,16.9018
45,0.0053367,16.9018
46,0.00475081,16.9018
47,0.00422924,16.9018
48,0.00376494,16.9018
49,0.0033516,16.9018
50,0.00298365,16.9018
51,0.00265609,16.9018
52,0.00236449,16.9018
53,0.0021049,16.9018
54,0.00187382,16.9018
55,0.0016681,16.9018
56,0.00148497,16.9018
57,0.00132194,16.9018
58,0.00117681,16.9018
59,0.00104762,16.9018
60,0.000932603,16.9018
61,0.000830218,16.9018
62,0.000739072,16.9018
63,0.000657933,16.9018
64,0.000585702,16.9018
65,0.000521401,16.9018
66,0.000464159,16.9018
67,0.000413201,16.9018
68,0.000367838,16.9018
69,0.000327455,16.9018
70,0.000291505,16.9018
71,0.000259502,16.9018
72,0.000231013,16.9018
73,0.000205651,16.9018
74,0.000183074,16.9018
75,0.000162975,16.9018
76,0.000145083,16.9018
77,0.000129155,16.9018
78,0.000114976,16.9018
79,0.000102353,16.9018
80,9.11163e-05,16.9018
81,8.11131e-05,16.9018
82,7.22081e-05,16.9018
83,6.42807e-05,16.9018
84,5.72237e-05,16.9018
85,5.09414e-05,16.9018
86,4.53488e-05,16.9018
87,4.03702e-05,16.9018
88,3.59381e-05,16.9018
89,3.19927e-05,16.9018
90,2.84804e-05,16.9018
91,2.53536e-05,16.9018
92,2.25702e-05,16.9018
93,2.00923e-05,16.9018
94,1.78865e-05,16.9018
95,1.59228e-05,16.9018
96,1.41747e-05,16.9018
97,1.26186e-05,16.9018
98,1.12332e-05,16.9018
99,1e-05,16.9018
