Acceptance Probability
Layer: 0, Bt :0.32908, At: 1, Delta_E: 6.50876, Acceptance Probability: 0.00149033, Is Accepted:0
Layer: 0, Bt :0.32908, At: 1, Delta_E: 3.04964, Acceptance Probability: 0.0473759, Is Accepted:0
Layer: 0, Bt :0.32908, At: 1, Delta_E: 9.82607, Acceptance Probability: 5.40245e-05, Is Accepted:0
Layer: 0, Bt :0.32908, At: 1, Delta_E: -1.55418, Acceptance Probability: 4.73122, Is Accepted:1
Layer: 0, Bt :0.32908, At: 1, Delta_E: 5.8273, Acceptance Probability: 0.00294602, Is Accepted:0
Layer: 0, Bt :0.32908, At: 1, Delta_E: -4.66342, Acceptance Probability: 105.998, Is Accepted:1
Layer: 0, Bt :0.32908, At: 1, Delta_E: 8.22132, Acceptance Probability: 0.00026886, Is Accepted:0
Layer: 0, Bt :0.32908, At: 1, Delta_E: 16.6341, Acceptance Probability: 5.96927e-08, Is Accepted:0
Layer: 0, Bt :0.32908, At: 1, Delta_E: 0.096643, Acceptance Probability: 0.90788, Is Accepted:1
Layer: 0, Bt :0.32908, At: 1, Delta_E: 0.890072, Acceptance Probability: 0.410626, Is Accepted:0
Layer: 0, Bt :0.292952, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.292952, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :0.292952, At: 1, Delta_E: -0.096643, Acceptance Probability: 1.11467, Is Accepted:1
Layer: 0, Bt :0.292952, At: 1, Delta_E: 9.20927, Acceptance Probability: 3.21532e-05, Is Accepted:0
Layer: 0, Bt :0.292952, At: 1, Delta_E: 5.73447, Acceptance Probability: 0.00159375, Is Accepted:0
Layer: 0, Bt :0.292952, At: 1, Delta_E: 1.12769, Acceptance Probability: 0.281741, Is Accepted:0
Layer: 0, Bt :0.292952, At: 1, Delta_E: 2.0773, Acceptance Probability: 0.0969576, Is Accepted:0
Layer: 0, Bt :0.292952, At: 1, Delta_E: 4.21806, Acceptance Probability: 0.00875394, Is Accepted:0
Layer: 0, Bt :0.292952, At: 1, Delta_E: 1.27417, Acceptance Probability: 0.238996, Is Accepted:0
Layer: 0, Bt :0.292952, At: 1, Delta_E: 0.845741, Acceptance Probability: 0.386725, Is Accepted:1
Layer: 0, Bt :0.260791, At: 1, Delta_E: 1.50239, Acceptance Probability: 0.150198, Is Accepted:0
Layer: 0, Bt :0.260791, At: 1, Delta_E: 10.338, Acceptance Probability: 2.16075e-06, Is Accepted:0
