Acceptance Probability
Layer: 0, Bt :3.2908, At: 1, Delta_E: 43.2142, Acceptance Probability: 1.70737e-19, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -8.87878, Acceptance Probability: 7178.01, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: -17.1277, Acceptance Probability: 2.74453e+07, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: -20.4681, Acceptance Probability: 7.74761e+08, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 37.6062, Acceptance Probability: 4.65405e-17, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 61.8834, Acceptance Probability: 1.33161e-27, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 47.8103, Acceptance Probability: 1.72293e-21, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 10.5609, Acceptance Probability: 2.59107e-05, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -3.56408, Acceptance Probability: 35.3068, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: -12.8412, Acceptance Probability: 377471, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 52.5537, Acceptance Probability: 1.50044e-23, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -20.9606, Acceptance Probability: 1.26787e+09, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 80.2757, Acceptance Probability: 1.3699e-35, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 95.455, Acceptance Probability: 3.50278e-42, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 29.1803, Acceptance Probability: 2.12402e-13, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 65.6838, Acceptance Probability: 2.97766e-29, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 18.0644, Acceptance Probability: 1.42807e-08, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 22.151, Acceptance Probability: 2.3986e-10, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -5.79089, Acceptance Probability: 327.303, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 95.455, Acceptance Probability: 3.50278e-42, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 97.7854, Acceptance Probability: 3.40668e-43, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 52.1787, Acceptance Probability: 2.18314e-23, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -3.85394, Acceptance Probability: 47.1786, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: -14.1049, Acceptance Probability: 1.33564e+06, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 75.9932, Acceptance Probability: 9.92142e-34, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 32.8917, Acceptance Probability: 5.19171e-15, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 91.6612, Acceptance Probability: 1.55607e-40, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 6.63367, Acceptance Probability: 0.00131533, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -13.5191, Acceptance Probability: 743469, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 96.7057, Acceptance Probability: 1.00289e-42, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 58.0969, Acceptance Probability: 5.8729e-26, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 116.267, Acceptance Probability: 3.20691e-51, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 85.22, Acceptance Probability: 9.75954e-38, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -25.4074, Acceptance Probability: 1.08216e+11, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: -19.1808, Acceptance Probability: 2.13849e+08, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 43.287, Acceptance Probability: 1.58746e-19, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 1.75958, Acceptance Probability: 0.172118, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 74.8452, Acceptance Probability: 3.12722e-33, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 23.4379, Acceptance Probability: 6.62262e-11, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -22.0449, Acceptance Probability: 3.74959e+09, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 2.20854, Acceptance Probability: 0.109861, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 21.0305, Acceptance Probability: 7.35454e-10, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -13.703, Acceptance Probability: 893574, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: -8.57857, Acceptance Probability: 5316.49, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: -7.66736, Acceptance Probability: 2137.43, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 31.7955, Acceptance Probability: 1.55377e-14, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 43.064, Acceptance Probability: 1.98399e-19, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 100.942, Acceptance Probability: 1.45074e-44, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 12.0714, Acceptance Probability: 5.72085e-06, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 4.6747, Acceptance Probability: 0.00932828, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 50.6924, Acceptance Probability: 9.65051e-23, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 34.7293, Acceptance Probability: 8.26525e-16, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -2.70384, Acceptance Probability: 14.937, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 18.0981, Acceptance Probability: 1.38069e-08, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 21.8481, Acceptance Probability: 3.24694e-10, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 29.0131, Acceptance Probability: 2.51047e-13, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 14.2693, Acceptance Probability: 6.3519e-07, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 23.4561, Acceptance Probability: 6.50359e-11, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 57.4058, Acceptance Probability: 1.17217e-25, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 122.458, Acceptance Probability: 6.56137e-54, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 17.4387, Acceptance Probability: 2.66961e-08, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -0.602566, Acceptance Probability: 1.8268, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 36.5645, Acceptance Probability: 1.31892e-16, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 16.8848, Acceptance Probability: 4.64528e-08, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 47.0361, Acceptance Probability: 3.73651e-21, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 52.8185, Acceptance Probability: 1.15135e-23, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 102.474, Acceptance Probability: 3.13456e-45, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 75.1658, Acceptance Probability: 2.26933e-33, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 25.8803, Acceptance Probability: 5.75886e-12, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 12.6765, Acceptance Probability: 3.12377e-06, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 39.0864, Acceptance Probability: 1.05923e-17, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 10.2257, Acceptance Probability: 3.62283e-05, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 45.6718, Acceptance Probability: 1.46212e-20, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 56.8714, Acceptance Probability: 2.00022e-25, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 16.4218, Acceptance Probability: 7.38097e-08, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 6.67879, Acceptance Probability: 0.0012573, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: -12.0901, Acceptance Probability: 178099, Is Accepted:1
Layer: 0, Bt :3.2908, At: 1, Delta_E: 52.096, Acceptance Probability: 2.37131e-23, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 70.052, Acceptance Probability: 3.77386e-31, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 172.759, Acceptance Probability: 9.36996e-76, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 93.9813, Acceptance Probability: 1.52912e-41, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 63.4516, Acceptance Probability: 2.77533e-28, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 36.2416, Acceptance Probability: 1.82173e-16, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 125.381, Acceptance Probability: 3.52846e-55, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 63.3436, Acceptance Probability: 3.09191e-28, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 2.04661, Acceptance Probability: 0.129171, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 9.71991, Acceptance Probability: 6.00755e-05, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 92.0654, Acceptance Probability: 1.03871e-40, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 7.70715, Acceptance Probability: 0.000449599, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 0, Acceptance Probability: 1, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 27.7757, Acceptance Probability: 8.65274e-13, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 4.33997, Acceptance Probability: 0.0130369, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 119.852, Acceptance Probability: 8.88996e-53, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 35.9164, Acceptance Probability: 2.52176e-16, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 5.34344, Acceptance Probability: 0.00477941, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 81.8746, Acceptance Probability: 2.76895e-36, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 78.4728, Acceptance Probability: 8.31182e-35, Is Accepted:0
Layer: 0, Bt :3.2908, At: 1, Delta_E: 14.1626, Acceptance Probability: 7.06726e-07, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 20.5286, Acceptance Probability: 9.66191e-11, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 44.4601, Acceptance Probability: 2.04164e-22, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 27.1477, Acceptance Probability: 5.70009e-14, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 27.2427, Acceptance Probability: 5.12339e-14, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 57.5246, Acceptance Probability: 8.63837e-29, Is Accepted:0
Layer: 0, Bt :3.86112, At: 1, Delta_E: 60.8912, Acceptance Probability: 1.96807e-30, Is Accepted:0
